"Date of data","Commodity code","Commodity","Trading partner code","Trading partner","US dollar",
"202502","6402","Other footwear with outer soles and uppers of rubber or plastics.","344","Russia","68,965,559",
"202502","6402","Other footwear with outer soles and uppers of rubber or plastics.","402","Argentina","2,545,399",
"202502","6402","Other footwear with outer soles and uppers of rubber or plastics.","410","Brazil","897,192",
"202502","6402","Other footwear with outer soles and uppers of rubber or plastics.","502","United States","234,542,349",
"202502","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","116","Japan","12,069,454",
"202502","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","141","Viet Nam","4,120,698",
"202502","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","304","Germany","9,848,638",
"202502","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","344","Russia","61,626,948",
"202502","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","402","Argentina","1,568,424",
"202502","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","410","Brazil","572,410",
"202502","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","502","United States","112,088,988",
"202502","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","116","Japan","38,219,343",
"202502","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","141","Viet Nam","6,775,627",
"202502","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","304","Germany","17,953,265",
"202502","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","344","Russia","38,757,729",
"202502","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","402","Argentina","1,640,097",
"202502","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","410","Brazil","2,150,761",
"202502","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","502","United States","158,383,532",
"202502","6405","Other footwear.","116","Japan","3,871,797",
"202502","6405","Other footwear.","141","Viet Nam","276,615",
"202502","6405","Other footwear.","304","Germany","444,019",
"202502","6405","Other footwear.","344","Russia","815,462",
"202502","6405","Other footwear.","410","Brazil","304,785",
"202502","6405","Other footwear.","502","United States","8,605,043",
"202503","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","116","Japan","8,075,295",
"202503","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","141","Viet Nam","910,739",
"202503","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","304","Germany","791,920",
"202503","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","344","Russia","107,149",
"202503","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","402","Argentina","28,455",
"202503","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","410","Brazil","234,574",
