"Date of data","Commodity code","Commodity","Trading partner code","Trading partner","US dollar",
"202408","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","402","Argentina","5,800",
"202408","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","410","Brazil","20,048",
"202408","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","502","United States","17,696,297",
"202408","6402","Other footwear with outer soles and uppers of rubber or plastics.","116","Japan","75,038,162",
"202408","6402","Other footwear with outer soles and uppers of rubber or plastics.","141","Viet Nam","35,046,870",
"202408","6402","Other footwear with outer soles and uppers of rubber or plastics.","304","Germany","77,365,308",
"202408","6402","Other footwear with outer soles and uppers of rubber or plastics.","344","Russia","127,785,026",
"202408","6402","Other footwear with outer soles and uppers of rubber or plastics.","402","Argentina","1,779,876",
"202408","6402","Other footwear with outer soles and uppers of rubber or plastics.","410","Brazil","1,835,733",
"202408","6402","Other footwear with outer soles and uppers of rubber or plastics.","502","United States","345,208,035",
"202408","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","116","Japan","17,863,778",
"202408","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","141","Viet Nam","13,692,102",
"202408","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","304","Germany","25,327,358",
"202408","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","344","Russia","116,229,503",
"202408","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","402","Argentina","1,231,784",
"202408","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","410","Brazil","583,670",
"202408","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","502","United States","232,182,787",
"202408","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","116","Japan","57,739,976",
"202408","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","141","Viet Nam","10,647,600",
"202408","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","304","Germany","36,992,176",
"202408","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","344","Russia","59,745,907",
"202408","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","402","Argentina","1,656,075",
"202408","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","410","Brazil","1,954,721",
"202408","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","502","United States","314,977,470",
"202408","6405","Other footwear.","116","Japan","9,184,908",
"202408","6405","Other footwear.","141","Viet Nam","664,048",
"202408","6405","Other footwear.","304","Germany","3,935,177",
"202408","6405","Other footwear.","344","Russia","1,686,350",
"202408","6405","Other footwear.","402","Argentina","14,365",
"202408","6405","Other footwear.","410","Brazil","289,557",
"202408","6405","Other footwear.","502","United States","49,546,898",
"202409","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","116","Japan","9,159,051",
"202409","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","141","Viet Nam","285,690",
"202409","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","304","Germany","1,004,161",
"202409","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","344","Russia","590,743",
"202409","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","402","Argentina","25,679",
"202409","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","410","Brazil","54,566",
"202409","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","502","United States","15,463,009",
"202409","6402","Other footwear with outer soles and uppers of rubber or plastics.","116","Japan","74,200,160",
"202409","6402","Other footwear with outer soles and uppers of rubber or plastics.","141","Viet Nam","32,597,964",
"202409","6402","Other footwear with outer soles and uppers of rubber or plastics.","304","Germany","39,605,336",
"202409","6402","Other footwear with outer soles and uppers of rubber or plastics.","344","Russia","75,072,964",
"202409","6402","Other footwear with outer soles and uppers of rubber or plastics.","402","Argentina","1,288,577",
"202409","6402","Other footwear with outer soles and uppers of rubber or plastics.","410","Brazil","850,574",
"202409","6402","Other footwear with outer soles and uppers of rubber or plastics.","502","United States","274,944,866",
"202409","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","116","Japan","13,018,218",
"202409","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","141","Viet Nam","14,643,784",
"202409","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","304","Germany","21,447,673",
"202409","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","344","Russia","73,053,456",
"202409","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","402","Argentina","281,657",
"202409","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","410","Brazil","209,117",
"202409","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","502","United States","182,503,406",
"202409","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","116","Japan","60,663,522",
"202409","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","141","Viet Nam","10,958,801",
"202409","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","304","Germany","30,901,065",
"202409","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","344","Russia","44,834,514",
"202409","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","402","Argentina","1,093,839",
"202409","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","410","Brazil","1,398,870",
"202409","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","502","United States","257,380,997",
"202409","6405","Other footwear.","116","Japan","10,746,140",
"202409","6405","Other footwear.","141","Viet Nam","955,378",
"202409","6405","Other footwear.","304","Germany","3,452,576",
"202409","6405","Other footwear.","344","Russia","1,241,105",
"202409","6405","Other footwear.","402","Argentina","157,271",
"202409","6405","Other footwear.","410","Brazil","105,937",
"202409","6405","Other footwear.","502","United States","40,630,663",
"202410","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","116","Japan","6,509,962",
"202410","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","141","Viet Nam","901,804",
"202410","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","304","Germany","1,037,781",
"202410","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","344","Russia","563,013",
"202410","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","402","Argentina","1,870",
"202410","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","410","Brazil","28,063",
"202410","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","502","United States","14,196,797",
"202410","6402","Other footwear with outer soles and uppers of rubber or plastics.","116","Japan","61,374,770",
"202410","6402","Other footwear with outer soles and uppers of rubber or plastics.","141","Viet Nam","38,353,650",
"202410","6402","Other footwear with outer soles and uppers of rubber or plastics.","304","Germany","45,038,808",
"202410","6402","Other footwear with outer soles and uppers of rubber or plastics.","344","Russia","60,633,180",
"202410","6402","Other footwear with outer soles and uppers of rubber or plastics.","402","Argentina","1,798,602",
"202410","6402","Other footwear with outer soles and uppers of rubber or plastics.","410","Brazil","1,494,313",
"202410","6402","Other footwear with outer soles and uppers of rubber or plastics.","502","United States","244,017,564",
"202410","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","116","Japan","10,328,244",
"202410","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","141","Viet Nam","11,574,970",
"202410","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","304","Germany","22,429,411",
"202410","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","344","Russia","41,527,386",
"202410","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","402","Argentina","635,197",
"202410","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","410","Brazil","406,425",
"202410","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","502","United States","157,922,708",
"202410","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","116","Japan","56,804,796",
"202410","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","141","Viet Nam","13,688,962",
"202410","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","304","Germany","36,366,825",
"202410","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","344","Russia","34,129,706",
"202410","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","402","Argentina","1,064,490",
"202410","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","410","Brazil","1,630,601",
"202410","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","502","United States","219,657,800",
"202410","6405","Other footwear.","116","Japan","9,423,998",
"202410","6405","Other footwear.","141","Viet Nam","906,849",
"202410","6405","Other footwear.","304","Germany","2,565,410",
"202410","6405","Other footwear.","344","Russia","1,498,418",
"202410","6405","Other footwear.","410","Brazil","192,078",
"202410","6405","Other footwear.","502","United States","24,511,845",
"202411","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","116","Japan","5,807,859",
"202411","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","141","Viet Nam","868,886",
"202411","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","304","Germany","1,097,277",
"202411","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","344","Russia","452,195",
"202411","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","402","Argentina","9,120",
"202411","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","410","Brazil","119,146",
"202411","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","502","United States","13,459,125",
"202411","6402","Other footwear with outer soles and uppers of rubber or plastics.","116","Japan","56,550,492",
"202411","6402","Other footwear with outer soles and uppers of rubber or plastics.","141","Viet Nam","48,128,082",
"202411","6402","Other footwear with outer soles and uppers of rubber or plastics.","304","Germany","54,097,761",
"202411","6402","Other footwear with outer soles and uppers of rubber or plastics.","344","Russia","68,669,231",
"202411","6402","Other footwear with outer soles and uppers of rubber or plastics.","402","Argentina","1,899,557",
"202411","6402","Other footwear with outer soles and uppers of rubber or plastics.","410","Brazil","2,183,516",
"202411","6402","Other footwear with outer soles and uppers of rubber or plastics.","502","United States","326,767,388",
"202411","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","116","Japan","9,692,416",
"202411","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","141","Viet Nam","15,642,415",
"202411","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","304","Germany","26,276,912",
"202411","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","344","Russia","50,205,950",
"202411","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","402","Argentina","860,680",
"202411","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","410","Brazil","598,052",
"202411","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","502","United States","185,523,897",
"202411","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","116","Japan","53,186,415",
"202411","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","141","Viet Nam","19,215,217",
"202411","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","304","Germany","40,722,688",
"202411","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","344","Russia","38,499,553",
"202411","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","402","Argentina","1,426,075",
"202411","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","410","Brazil","2,365,536",
"202411","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","502","United States","242,271,857",
"202411","6405","Other footwear.","116","Japan","7,811,373",
"202411","6405","Other footwear.","141","Viet Nam","958,547",
"202411","6405","Other footwear.","304","Germany","1,693,722",
"202411","6405","Other footwear.","344","Russia","1,197,472",
"202411","6405","Other footwear.","402","Argentina","9,516",
"202411","6405","Other footwear.","410","Brazil","260,112",
"202411","6405","Other footwear.","502","United States","17,212,232",
"202412","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","116","Japan","5,778,608",
"202412","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","141","Viet Nam","576,860",
"202412","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","304","Germany","2,471,079",
"202412","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","344","Russia","1,323,173",
"202412","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","402","Argentina","313",
"202412","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","410","Brazil","94,062",
"202412","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","502","United States","15,267,664",
"202412","6402","Other footwear with outer soles and uppers of rubber or plastics.","116","Japan","57,883,453",
"202412","6402","Other footwear with outer soles and uppers of rubber or plastics.","141","Viet Nam","65,546,507",
"202412","6402","Other footwear with outer soles and uppers of rubber or plastics.","304","Germany","72,706,544",
"202412","6402","Other footwear with outer soles and uppers of rubber or plastics.","344","Russia","119,701,414",
"202412","6402","Other footwear with outer soles and uppers of rubber or plastics.","402","Argentina","1,680,108",
"202412","6402","Other footwear with outer soles and uppers of rubber or plastics.","410","Brazil","1,556,571",
"202412","6402","Other footwear with outer soles and uppers of rubber or plastics.","502","United States","432,138,709",
"202412","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","116","Japan","9,251,077",
"202412","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","141","Viet Nam","23,800,613",
"202412","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","304","Germany","27,517,832",
"202412","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","344","Russia","99,206,544",
"202412","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","402","Argentina","1,782,013",
"202412","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","410","Brazil","1,362,803",
"202412","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","502","United States","185,771,740",
"202412","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","116","Japan","54,721,276",
"202412","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","141","Viet Nam","26,298,259",
"202412","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","304","Germany","56,751,463",
"202412","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","344","Russia","85,212,763",
"202412","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","402","Argentina","2,608,214",
"202412","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","410","Brazil","3,429,633",
"202412","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","502","United States","277,510,962",
"202412","6405","Other footwear.","116","Japan","5,540,658",
"202412","6405","Other footwear.","141","Viet Nam","3,111,596",
"202412","6405","Other footwear.","304","Germany","1,184,276",
"202412","6405","Other footwear.","344","Russia","1,173,529",
"202412","6405","Other footwear.","402","Argentina","212,174",
"202412","6405","Other footwear.","410","Brazil","870,808",
"202412","6405","Other footwear.","502","United States","14,036,636",
