"Date of data","Commodity code","Commodity","Trading partner code","Trading partner","US dollar",
"202402","6402","Other footwear with outer soles and uppers of rubber or plastics.","344","Russia","93,049,542",
"202402","6402","Other footwear with outer soles and uppers of rubber or plastics.","402","Argentina","2,376,629",
"202402","6402","Other footwear with outer soles and uppers of rubber or plastics.","410","Brazil","1,027,512",
"202402","6402","Other footwear with outer soles and uppers of rubber or plastics.","502","United States","300,593,080",
"202402","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","116","Japan","12,817,073",
"202402","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","141","Viet Nam","3,414,472",
"202402","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","304","Germany","17,226,902",
"202402","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","344","Russia","75,026,313",
"202402","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","402","Argentina","1,405,118",
"202402","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","410","Brazil","628,954",
"202402","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","502","United States","135,479,817",
"202402","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","116","Japan","44,242,442",
"202402","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","141","Viet Nam","7,455,313",
"202402","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","304","Germany","38,453,984",
"202402","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","344","Russia","59,237,423",
"202402","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","402","Argentina","2,722,138",
"202402","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","410","Brazil","2,655,217",
"202402","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","502","United States","205,700,691",
"202402","6405","Other footwear.","116","Japan","5,516,271",
"202402","6405","Other footwear.","141","Viet Nam","631,493",
"202402","6405","Other footwear.","304","Germany","619,348",
"202402","6405","Other footwear.","344","Russia","1,317,741",
"202402","6405","Other footwear.","410","Brazil","584,150",
"202402","6405","Other footwear.","502","United States","9,837,901",
"202403","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","116","Japan","7,216,310",
"202403","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","141","Viet Nam","976,501",
"202403","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","304","Germany","397,934",
"202403","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","344","Russia","733,088",
"202403","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","402","Argentina","501",
"202403","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","410","Brazil","4,352",
"202403","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","502","United States","7,910,318",
"202403","6402","Other footwear with outer soles and uppers of rubber or plastics.","116","Japan","74,016,575",
"202403","6402","Other footwear with outer soles and uppers of rubber or plastics.","141","Viet Nam","70,461,340",
"202403","6402","Other footwear with outer soles and uppers of rubber or plastics.","304","Germany","31,500,456",
"202403","6402","Other footwear with outer soles and uppers of rubber or plastics.","344","Russia","91,437,559",
"202403","6402","Other footwear with outer soles and uppers of rubber or plastics.","402","Argentina","454,221",
"202403","6402","Other footwear with outer soles and uppers of rubber or plastics.","410","Brazil","1,184,551",
"202403","6402","Other footwear with outer soles and uppers of rubber or plastics.","502","United States","272,704,865",
"202403","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","116","Japan","8,658,861",
"202403","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","141","Viet Nam","12,889,267",
"202403","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","304","Germany","10,050,227",
"202403","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","344","Russia","20,204,971",
"202403","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","402","Argentina","513,351",
"202403","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","410","Brazil","559,012",
"202403","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","502","United States","125,986,577",
"202403","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","116","Japan","60,196,955",
"202403","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","141","Viet Nam","16,938,519",
"202403","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","304","Germany","23,103,004",
"202403","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","344","Russia","41,143,166",
"202403","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","402","Argentina","631,192",
"202403","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","410","Brazil","1,002,746",
"202403","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","502","United States","188,486,314",
"202403","6405","Other footwear.","116","Japan","6,696,621",
"202403","6405","Other footwear.","141","Viet Nam","4,398,994",
"202403","6405","Other footwear.","304","Germany","570,417",
"202403","6405","Other footwear.","344","Russia","999,507",
"202403","6405","Other footwear.","402","Argentina","5,374",
"202403","6405","Other footwear.","410","Brazil","160,675",
"202403","6405","Other footwear.","502","United States","10,588,835",
"202404","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","116","Japan","6,206,060",
"202404","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","141","Viet Nam","1,054,376",
"202404","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","304","Germany","1,077,512",
"202404","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","344","Russia","304,844",
"202404","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","410","Brazil","9,299",
"202404","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","502","United States","9,969,979",
"202404","6402","Other footwear with outer soles and uppers of rubber or plastics.","116","Japan","71,950,402",
"202404","6402","Other footwear with outer soles and uppers of rubber or plastics.","141","Viet Nam","49,244,069",
"202404","6402","Other footwear with outer soles and uppers of rubber or plastics.","304","Germany","44,196,583",
"202404","6402","Other footwear with outer soles and uppers of rubber or plastics.","344","Russia","78,068,723",
"202404","6402","Other footwear with outer soles and uppers of rubber or plastics.","402","Argentina","427,556",
"202404","6402","Other footwear with outer soles and uppers of rubber or plastics.","410","Brazil","1,504,728",
"202404","6402","Other footwear with outer soles and uppers of rubber or plastics.","502","United States","312,996,528",
"202404","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","116","Japan","12,165,216",
"202404","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","141","Viet Nam","8,343,970",
"202404","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","304","Germany","19,012,281",
"202404","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","344","Russia","21,954,913",
"202404","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","402","Argentina","287,899",
"202404","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","410","Brazil","242,641",
"202404","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","502","United States","139,660,199",
"202404","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","116","Japan","59,134,077",
"202404","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","141","Viet Nam","14,815,166",
"202404","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","304","Germany","27,807,058",
"202404","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","344","Russia","34,584,197",
"202404","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","402","Argentina","871,128",
"202404","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","410","Brazil","1,512,071",
"202404","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","502","United States","214,722,853",
"202404","6405","Other footwear.","116","Japan","7,089,302",
"202404","6405","Other footwear.","141","Viet Nam","3,402,605",
"202404","6405","Other footwear.","304","Germany","694,267",
"202404","6405","Other footwear.","344","Russia","1,729,880",
"202404","6405","Other footwear.","402","Argentina","15,336",
"202404","6405","Other footwear.","410","Brazil","241,333",
"202404","6405","Other footwear.","502","United States","13,306,833",
"202405","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","116","Japan","7,627,341",
"202405","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","141","Viet Nam","247,653",
"202405","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","304","Germany","2,764,965",
"202405","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","344","Russia","1,034,047",
"202405","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","402","Argentina","17,549",
"202405","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","410","Brazil","84,258",
"202405","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","502","United States","15,537,767",
"202405","6402","Other footwear with outer soles and uppers of rubber or plastics.","116","Japan","65,002,167",
"202405","6402","Other footwear with outer soles and uppers of rubber or plastics.","141","Viet Nam","40,140,104",
"202405","6402","Other footwear with outer soles and uppers of rubber or plastics.","304","Germany","58,917,093",
"202405","6402","Other footwear with outer soles and uppers of rubber or plastics.","344","Russia","105,650,887",
"202405","6402","Other footwear with outer soles and uppers of rubber or plastics.","402","Argentina","1,206,762",
"202405","6402","Other footwear with outer soles and uppers of rubber or plastics.","410","Brazil","1,486,908",
"202405","6402","Other footwear with outer soles and uppers of rubber or plastics.","502","United States","341,889,671",
"202405","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","116","Japan","7,269,697",
"202405","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","141","Viet Nam","6,924,460",
"202405","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","304","Germany","24,754,062",
"202405","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","344","Russia","37,109,443",
"202405","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","402","Argentina","727,181",
"202405","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","410","Brazil","534,702",
"202405","6403","ootwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.","502","United States","188,933,388",
"202405","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","116","Japan","49,846,889",
"202405","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","141","Viet Nam","12,516,898",
"202405","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","304","Germany","33,514,727",
"202405","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","344","Russia","49,790,795",
"202405","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","402","Argentina","767,397",
"202405","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","410","Brazil","2,233,055",
"202405","6404","Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.","502","United States","250,021,831",
"202405","6405","Other footwear.","116","Japan","6,159,636",
"202405","6405","Other footwear.","141","Viet Nam","2,390,107",
"202405","6405","Other footwear.","304","Germany","1,051,102",
"202405","6405","Other footwear.","344","Russia","1,473,501",
"202405","6405","Other footwear.","402","Argentina","14,526",
"202405","6405","Other footwear.","410","Brazil","134,467",
"202405","6405","Other footwear.","502","United States","19,867,936",
"202406","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","116","Japan","6,935,512",
"202406","6401","Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor
assembled by stitching, riveting, nailing, screwing, plugging or similar processes.","141","Viet Nam","1,319,749",
